ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,AREA_SQKM
Preaek Phnov,KH121101,,,,Praek Pnov,KH1211,Phnom Penh,KH12,Cambodia,KH,7.31956625
Preaek Phtoul,KH210105,,,,Angkor Borei,KH2101,Takeo,KH21,Cambodia,KH,42.81938553
Preaek Pou,KH031409,,,,Srei Santhor,KH0314,Kampong Cham,KH03,Cambodia,KH,27.20174026
Preaek Pra,KH121204,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,5.935398102
Preaek Prasab,KH100305,,,,Prek Prasab,KH1003,Kratie,KH10,Cambodia,KH,187.6939697
Preaek Rey,KH080610,,,,Lvea Aem,KH0806,Kandal,KH08,Cambodia,KH,14.77483463
Preaek Roka,KH080115,,,,Kandal Stueng,KH0801,Kandal,KH08,Cambodia,KH,11.20710659
Preaek Ruessei,KH080611,,,,Lvea Aem,KH0806,Kandal,KH08,Cambodia,KH,22.86774445
Preaek Rumdeng,KH031410,,,,Srei Santhor,KH0314,Kampong Cham,KH03,Cambodia,KH,44.89962006
Preaek Saman,KH100108,,,,Chhloung,KH1001,Kratie,KH10,Cambodia,KH,91.60907745
