ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,AREA_SQKM
Pa Te,KH160704,,,,Ou Ya Dav,KH1607,Ratanak Kiri,KH16,Cambodia,KH,476.2637939
Pailin,KH240101,,,,Pailin,KH2401,Pailin,KH24,Cambodia,KH,136.4643402
Pak Khlang,KH090501,,,,Mondol Seima,KH0905,Koh Kong,KH09,Cambodia,KH,1364.647339
Pak Nhai,KH160703,,,,Ou Ya Dav,KH1607,Ratanak Kiri,KH16,Cambodia,KH,206.3483276
Pal Hal,KH130802,,,,Preah Vihear,KH1308,Preah Vihear,KH13,Cambodia,KH,264.1035461
Paoy Paet,KH011002,,,,Paoy Paet,KH0110,Banteay Meanchey,KH01,Cambodia,KH,21.7790966
Pdau Chum,KH030303,,,,Cheung Prey,KH0303,Kampong Cham,KH03,Cambodia,KH,39.20025635
Pea Ream,KH210209,,,,Bati,KH2102,Takeo,KH21,Cambodia,KH,20.43660736
Peak Snaeng,KH170203,,,,Angkor Thum,KH1702,Siemreap,KH17,Cambodia,KH,131.9386597
Peam,KH040704,,,,Sameakki Mean Chey,KH0407,Kampong Chhnang,KH04,Cambodia,KH,100.9887238
Peam Aek,KH020505,,,,Aek Phnum,KH0205,Battambang,KH02,Cambodia,KH,94.79870605
Peam Bang,KH060807,,,,Stoung,KH0608,Kampong Thom,KH06,Cambodia,KH,243.8530579
Peam Chhkaok,KH040204,,,,Chol Kiri,KH0402,Kampong Chhnang,KH04,Cambodia,KH,96.49875641
Peam Chi Kang,KH030704,,,,Kang Meas,KH0307,Kampong Cham,KH03,Cambodia,KH,21.2177639
Peam Chileang,KH250710,,,,Tboung Khmum,KH2507,Tboung Khmum,KH25,Cambodia,KH,55.20414352
Peam Kaoh Snar,KH031507,,,,Stueng Trang,KH0315,Kampong Cham,KH03,Cambodia,KH,46.09894562
Peam Krasaob,KH090502,,,,Mondol Seima,KH0905,Koh Kong,KH09,Cambodia,KH,46.19205475
Peam Mean Chey,KH140704,,,,Peam Ro,KH1407,Prey Veng,KH14,Cambodia,KH,34.49287033
Peam Montear,KH140308,,,,Kampong Trabaek,KH1403,Prey Veng,KH14,Cambodia,KH,71.30400848
Peam Oknha Ong,KH080607,,,,Lvea Aem,KH0806,Kandal,KH08,Cambodia,KH,15.19886589
Peam Prathnuoh,KH030806,,,,Kaoh Soutin,KH0308,Kampong Cham,KH03,Cambodia,KH,19.87834167
Peam Reang,KH080504,,,,Leuk Daek,KH0805,Kandal,KH08,Cambodia,KH,51.23707199
Peam Ro,KH140705,,,,Peam Ro,KH1407,Prey Veng,KH14,Cambodia,KH,17.30848503
Pean Roung,KH141306,,,,Svay Antor,KH1413,Prey Veng,KH14,Cambodia,KH,60.9706192
Peang Lvea,KH050514,,,,Odongk,KH0505,Kampong Speu,KH05,Cambodia,KH,33.34194946
Peani,KH040507,,,,Kampong Tralach,KH0405,Kampong Chhnang,KH04,Cambodia,KH,21.77574539
Pech Changvar,KH040108,,,,Baribour,KH0401,Kampong Chhnang,KH04,Cambodia,KH,55.88037491
Pech Chenda,KH021102,,,,Phnum Proek,KH0211,Battambang,KH02,Cambodia,KH,138.2467346
Pech Sar,KH210502,,,,Kaoh Andaet,KH2105,Takeo,KH21,Cambodia,KH,56.12010574
Pechr Muni,KH050304,,,,Kong Pisei,KH0503,Kampong Speu,KH05,Cambodia,KH,15.69392204
Peuk,KH080811,,,,Angk Snuol,KH0808,Kandal,KH08,Cambodia,KH,14.36038494
Peus Muoy,KH250206,,,,Krouch Chhmar,KH2502,Tboung Khmum,KH25,Cambodia,KH,27.35208893
Peus Pir,KH250207,,,,Krouch Chhmar,KH2502,Tboung Khmum,KH25,Cambodia,KH,35.39501953
Ph'av,KH030106,Phav,,,Batheay,KH0301,Kampong Cham,KH03,Cambodia,KH,16.03775597
Ph'av,KH220502,Phav,,,Trapeang Prasat,KH2205,Oddar Meanchey,KH22,Cambodia,KH,471.3638611
Phan Nheum,KH060403,,,,Prasat Ballangk,KH0604,Kampong Thom,KH06,Cambodia,KH,111.0968552
Phat Sanday,KH060206,,,,Kampong Svay,KH0602,Kampong Thom,KH06,Cambodia,KH,225.8683319
Pheakdei,KH050104,,,,Basedth,KH0501,Kampong Speu,KH05,Cambodia,KH,40.13732147
Pheari Mean Chey,KH050105,,,,Basedth,KH0501,Kampong Speu,KH05,Cambodia,KH,21.07374954
Phkoam,KH010801,,,,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,88.61827087
Phleung Chheh Roteh,KH120903,,,,Pur SenChey,KH1209,Phnom Penh,KH12,Cambodia,KH,9.875566483
